Date,Clicks,Impressions,CTR,Position
2026-08-16,151,28451,0.53%,9.1
2026-08-17,153,32463,0.47%,9.1
2026-08-18,147,38904,0.38%,8.7
2026-08-19,163,41768,0.39%,8.2
2026-08-20,161,40585,0.4%,8.8
2026-08-21,109,36030,0.3%,9
2026-08-22,99,29050,0.34%,9.9
2026-08-23,118,27760,0.43%,9.1
2026-08-24,130,35165,0.37%,9.5
2026-08-25,109,34436,0.32%,9.9
2026-08-26,104,31959,0.33%,9.7
2026-08-27,105,32191,0.33%,9.8
2026-08-28,90,27612,0.33%,10.2
2026-08-29,108,29182,0.37%,10.6
2026-08-30,126,32361,0.39%,9.8
2026-08-31,166,44115,0.38%,9
2026-09-01,151,38142,0.4%,8.4
2026-09-02,171,40681,0.42%,7.9
2026-09-03,154,36616,0.42%,8.4
2026-09-04,150,33081,0.45%,8.6
2026-09-05,153,30548,0.5%,7.7
2026-09-06,150,33050,0.45%,8.7
2026-09-07,174,40788,0.43%,7.7
2026-09-08,149,39105,0.38%,8.7
2026-09-09,190,37534,0.51%,7.5
2026-09-10,227,38709,0.59%,8.1
2026-09-11,379,35141,1.08%,7
2026-09-12,269,37036,0.73%,7.7
