Country,Clicks,Impressions,CTR,Position
India,4224,952526,0.44%,8.5
United Arab Emirates,21,1959,1.07%,8
United States,17,10966,0.16%,9.91
Kuwait,8,216,3.7%,5.48
United Kingdom,7,1532,0.46%,16.31
Oman,7,259,2.7%,7.07
Canada,6,898,0.67%,7.43
Nepal,6,543,1.1%,6.65
Bangladesh,5,771,0.65%,31.76
Saudi Arabia,5,690,0.72%,10.98
Philippines,3,1112,0.27%,53.16
Australia,3,581,0.52%,11.55
Germany,3,461,0.65%,9.26
Qatar,3,351,0.85%,6.94
Japan,3,183,1.64%,8.57
Malawi,3,35,8.57%,6.49
Pakistan,2,475,0.42%,9.39
Singapore,2,327,0.61%,6.4
Nigeria,2,162,1.23%,8.44
Uganda,2,59,3.39%,5.56
Switzerland,2,49,4.08%,6.92
Netherlands,1,362,0.28%,8.35
Thailand,1,344,0.29%,49.53
France,1,224,0.45%,34.99
Russia,1,164,0.61%,41.36
Bahrain,1,119,0.84%,6.56
Kenya,1,96,1.04%,11.12
Egypt,1,85,1.18%,8.87
Norway,1,53,1.89%,7.28
Bhutan,1,46,2.17%,5.17
Poland,1,43,2.33%,12.21
Yemen,1,31,3.23%,6.32
Finland,1,27,3.7%,6.04
Afghanistan,1,26,3.85%,8.77
Syria,1,25,4%,6.88
Botswana,1,16,6.25%,9.06
Guinea,1,15,6.67%,5
Madagascar,1,14,7.14%,6.07
Cameroon,1,14,7.14%,6.64
Sudan,1,12,8.33%,7.08
Malta,1,11,9.09%,7.27
Guinea-Bissau,1,3,33.33%,4.33
Guam,1,1,100%,1
Hong Kong,0,978,0%,7.06
Vietnam,0,644,0%,57.7
Indonesia,0,496,0%,51.69
Turkey,0,402,0%,59.64
Malaysia,0,398,0%,43.1
Mexico,0,391,0%,44.36
Brazil,0,308,0%,9.99
Morocco,0,160,0%,55.79
Spain,0,153,0%,31.37
Argentina,0,118,0%,8.05
Italy,0,118,0%,10.89
Algeria,0,112,0%,64.72
Jordan,0,106,0%,57.06
China,0,105,0%,6.9
Ukraine,0,103,0%,57.98
South Africa,0,97,0%,9.7
New Zealand,0,96,0%,6.45
Ireland,0,91,0%,6.33
Sri Lanka,0,81,0%,11.96
Colombia,0,72,0%,15.64
South Korea,0,63,0%,9
Ghana,0,50,0%,6.92
Belgium,0,50,0%,7.72
Tanzania,0,49,0%,14.63
Lithuania,0,46,0%,6.04
Zimbabwe,0,45,0%,6
Romania,0,44,0%,6.75
Zambia,0,42,0%,7.95
Sweden,0,42,0%,8.71
Israel,0,42,0%,11.79
Peru,0,39,0%,7.54
Mauritius,0,38,0%,6.55
Papua New Guinea,0,33,0%,6.27
Taiwan,0,33,0%,7.67
Swaziland,0,28,0%,6.11
Denmark,0,28,0%,7
Ethiopia,0,27,0%,4.89
South Sudan,0,26,0%,5.5
Portugal,0,26,0%,7.08
Iran,0,25,0%,7.2
Iraq,0,24,0%,23.75
Liberia,0,22,0%,6.77
Guyana,0,21,0%,6.1
Greece,0,20,0%,8.85
Côte d’Ivoire,0,19,0%,6.05
Maldives,0,19,0%,6.11
Myanmar (Burma),0,19,0%,7.16
Hungary,0,19,0%,18.89
Somalia,0,18,0%,5.72
Cambodia,0,18,0%,6.33
Lesotho,0,18,0%,7
Ecuador,0,18,0%,11.5
Azerbaijan,0,17,0%,7.18
Jamaica,0,16,0%,4.38
Austria,0,16,0%,7.5
Unknown Region,0,16,0%,8.88
Uzbekistan,0,16,0%,9.69
Angola,0,16,0%,13.81
Chile,0,16,0%,18.88
Congo - Kinshasa,0,15,0%,5
Togo,0,15,0%,9.73
Czechia,0,14,0%,7.64
Lebanon,0,13,0%,5.08
Venezuela,0,13,0%,11.54
Gambia,0,12,0%,8.67
Kazakhstan,0,12,0%,10.25
Georgia,0,12,0%,14.42
Mozambique,0,11,0%,5
Rwanda,0,11,0%,12.09
Serbia,0,11,0%,14
Sierra Leone,0,10,0%,5.4
Trinidad & Tobago,0,10,0%,10.5
Latvia,0,10,0%,17.1
Bolivia,0,10,0%,25.4
Seychelles,0,9,0%,9.44
Mongolia,0,9,0%,10.22
Slovenia,0,9,0%,13.56
Bulgaria,0,8,0%,3.88
Bahamas,0,8,0%,6.5
Guatemala,0,8,0%,7.38
Brunei,0,8,0%,7.88
Cyprus,0,7,0%,2
Luxembourg,0,7,0%,5.14
Namibia,0,6,0%,9.17
Belarus,0,6,0%,18
Kosovo,0,6,0%,18.83
Croatia,0,5,0%,4
Suriname,0,5,0%,4.4
Haiti,0,5,0%,5.8
Libya,0,5,0%,5.8
Albania,0,5,0%,6
Armenia,0,5,0%,6.8
Dominican Republic,0,5,0%,7.6
Laos,0,5,0%,11.8
Honduras,0,5,0%,15
Fiji,0,5,0%,15.4
Puerto Rico,0,4,0%,4.5
Costa Rica,0,4,0%,5.5
Estonia,0,4,0%,5.5
Iceland,0,4,0%,6.25
Senegal,0,4,0%,6.25
Barbados,0,4,0%,6.75
Slovakia,0,4,0%,6.75
Panama,0,4,0%,7.75
Kyrgyzstan,0,4,0%,8.5
Paraguay,0,4,0%,10.25
Burundi,0,3,0%,4.33
Chad,0,3,0%,4.67
Macedonia,0,3,0%,5.33
Benin,0,3,0%,6.67
Gabon,0,3,0%,37.67
Réunion,0,2,0%,2.5
Aruba,0,2,0%,4
Curaçao,0,2,0%,4
Niger,0,2,0%,4.5
Cayman Islands,0,2,0%,5
St. Lucia,0,2,0%,5
Djibouti,0,2,0%,5.5
Solomon Islands,0,2,0%,5.5
Cuba,0,2,0%,6
Moldova,0,2,0%,6
Comoros,0,2,0%,6.5
Northern Mariana Islands,0,2,0%,7
Grenada,0,2,0%,9.5
Central African Republic,0,1,0%,1
Dominica,0,1,0%,1
Micronesia,0,1,0%,1
Macau,0,1,0%,1
Turks & Caicos Islands,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,3
Mauritania,0,1,0%,4
Nicaragua,0,1,0%,4
Mayotte,0,1,0%,5
Congo - Brazzaville,0,1,0%,7
St. Kitts & Nevis,0,1,0%,8
Tunisia,0,1,0%,8
St. Vincent & Grenadines,0,1,0%,8
Montenegro,0,1,0%,9
North Korea,0,1,0%,9
Palestine,0,1,0%,9
French Polynesia,0,1,0%,10
Timor-Leste,0,1,0%,10
Belize,0,1,0%,11
Gibraltar,0,1,0%,11
Burkina Faso,0,1,0%,26
Jersey,0,1,0%,35
Western Sahara,0,1,0%,63
