university,programme,spec_slug,currently_emitted_name,verified_name,page_url
"amity-university-online","BBA","business-analytics","Business Analytics","","https://edifyedu.in/universities/amity-university-online/bba/business-analytics"
"amity-university-online","BBA","general-business-administration-option-for-data-analytics-specialisation","General Business Administration Option For Data Analytics Specialisation","","https://edifyedu.in/universities/amity-university-online/bba/general-business-administration-option-for-data-analytics-specialisation"
"amity-university-online","BCA","cloud-security","Cloud Security","","https://edifyedu.in/universities/amity-university-online/bca/cloud-security"
"amity-university-online","BCA","computer-applications-financial-technology-ai-with-paytm","Computer Applications Financial Technology AI With Paytm","","https://edifyedu.in/universities/amity-university-online/bca/computer-applications-financial-technology-ai-with-paytm"
"amity-university-online","BCA","data-analytics","Data Analytics","","https://edifyedu.in/universities/amity-university-online/bca/data-analytics"
"amity-university-online","BCA","data-engineering","Data Engineering","","https://edifyedu.in/universities/amity-university-online/bca/data-engineering"
"amity-university-online","BCA","data-science","Data Science","","https://edifyedu.in/universities/amity-university-online/bca/data-science"
"amity-university-online","BCA","software-engineering","Software Engineering","","https://edifyedu.in/universities/amity-university-online/bca/software-engineering"
"amity-university-online","MBA","digital-marketing","Digital Marketing","","https://edifyedu.in/universities/amity-university-online/mba/digital-marketing"
"amity-university-online","MBA","healthcare-management","Healthcare Management","","https://edifyedu.in/universities/amity-university-online/mba/healthcare-management"
"amity-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/amity-university-online/mba/hr-management"
"amity-university-online","MBA","retail","Retail","","https://edifyedu.in/universities/amity-university-online/mba/retail"
"amity-university-online","MCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning","","https://edifyedu.in/universities/amity-university-online/mca/artificial-intelligence-machine-learning"
"amrita-vishwa-vidyapeetham-online","BCA","artificial-intelligence-data-science","Artificial Intelligence Data Science","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/bca/artificial-intelligence-data-science"
"amrita-vishwa-vidyapeetham-online","MBA","esg","ESG","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/mba/esg"
"amrita-vishwa-vidyapeetham-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/mba/hr-management"
"amrita-vishwa-vidyapeetham-online","MBA","operations","Operations","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/mba/operations"
"amrita-vishwa-vidyapeetham-online","MCA","artificial-intelligence","Artificial Intelligence","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/mca/artificial-intelligence"
"amrita-vishwa-vidyapeetham-online","MCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/mca/artificial-intelligence-machine-learning"
"amrita-vishwa-vidyapeetham-online","MCA","cyber-security","Cyber Security","","https://edifyedu.in/universities/amrita-vishwa-vidyapeetham-online/mca/cyber-security"
"andhra-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/andhra-university-online/mba/hr-management"
"assam-don-bosco-university-online","BBA","human-resource-management","Human Resource Management","","https://edifyedu.in/universities/assam-don-bosco-university-online/bba/human-resource-management"
"bharathidasan-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/bharathidasan-university-online/mba/hr-management"
"bharathidasan-university-online","MBA","operations","Operations","","https://edifyedu.in/universities/bharathidasan-university-online/mba/operations"
"bharati-vidyapeeth-university-online","BBA","event-management","Event Management","","https://edifyedu.in/universities/bharati-vidyapeeth-university-online/bba/event-management"
"bharati-vidyapeeth-university-online","BBA","finance","Finance","","https://edifyedu.in/universities/bharati-vidyapeeth-university-online/bba/finance"
