url,university,programme,impressions,clicks,position,current_pd_fees,gate_rule,gate_reason,official_portal,verified_total_fee
"/universities/pp-savani-university-online/bca","P P Savani University Online",BCA,4506,3,7.5,"₹0.2L – ₹1.5L","4a","pd.fees ""₹0.2L – ₹1.5L"" spans 7.5x, placeholder or stale range","",
"/universities/integral-university-online/bca","Integral University Online",BCA,3164,5,8.7,"₹0.1L – ₹0.6L","4a","pd.fees ""₹0.1L – ₹0.6L"" spans 6.0x, placeholder or stale range","",
"/universities/gls-university-online/bba","GLS University Online",BBA,3111,4,9.8,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/gls-university-online/bca","GLS University Online",BCA,2739,6,8.8,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/savitribai-phule-pune-university-online/bba","Savitribai Phule Pune University (SPPU) Online",BBA,2157,9,7.7,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/sgt-university-online/bca","SGT University Online",BCA,2110,3,9.8,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/lovely-professional-university-online/bca","Lovely Professional University Online",BCA,1774,1,22.2,"₹0.2L – ₹1.2L","4a","pd.fees ""₹0.2L – ₹1.2L"" spans 6.0x, placeholder or stale range","",
"/universities/parul-university-online/bca","Parul University Online",BCA,1475,4,10.5,"₹0.1L – ₹0.9L","4a","pd.fees ""₹0.1L – ₹0.9L"" spans 9.0x, placeholder or stale range","",
"/universities/ignou-online/mca","Indira Gandhi National Open University (IGNOU) Online",MCA,1328,3,13.4,"₹27,000","4b","pd.fees ""₹27,000"" (27000-27000) diverges from programFees.mca 50800 by >25%","",
"/universities/gls-university-online/bcom","GLS University Online",B.Com,1201,3,9.1,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/kurukshetra-university-online/bcom","Kurukshetra University Online",B.Com,969,2,9.5,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/savitribai-phule-pune-university-online/bca","Savitribai Phule Pune University (SPPU) Online",BCA,893,3,8.3,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/nmims-online/bba","NMIMS (Narsee Monjee Institute of Management Studies) Online",BBA,784,2,12.3,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/ignou-online/bca","Indira Gandhi National Open University (IGNOU) Online",BCA,775,3,10.0,"₹21,600","4b","pd.fees ""₹21,600"" (21600-21600) diverges from programFees.bca 49800 by >25%","",
"/universities/chandigarh-university-online/bba","Chandigarh University Online",BBA,691,2,26.9,"₹0.3L – ₹1.9L","4a","pd.fees ""₹0.3L – ₹1.9L"" spans 6.3x, placeholder or stale range","",
"/universities/gls-university-online/mba","GLS University Online",MBA,682,2,8.4,"₹0.5L – ₹3.0L","4a","pd.fees ""₹0.5L – ₹3.0L"" spans 6.0x, placeholder or stale range","",
"/universities/gla-university-online/bcom","GLA University Online",B.Com,676,1,8.4,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/kurukshetra-university-online/mcom","Kurukshetra University Online",M.Com,669,1,10.6,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/marwadi-university-online/bca","Marwadi University Online",BCA,666,2,8.9,"₹0.2L – ₹1.2L","4a","pd.fees ""₹0.2L – ₹1.2L"" spans 6.0x, placeholder or stale range","",
"/universities/sgt-university-online/bcom","SGT University Online",B.Com,661,1,9.5,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/iift-online/mba","Indian Institute of Foreign Trade (IIFT) Online",MBA,591,1,10.5,"₹60K – ₹200K","4a","pd.fees ""₹60K – ₹200K"" spans 3.3x, placeholder or stale range","",
"/universities/manipal-academy-higher-education-online/bcom","Manipal Academy of Higher Education (MAHE) Online",B.Com,457,3,14.9,"₹0.3L – ₹1.7L","4a","pd.fees ""₹0.3L – ₹1.7L"" spans 5.7x, placeholder or stale range","",
"/universities/sharda-university-online/bba","Sharda University Online",BBA,453,1,9.2,"₹0.2L – ₹1.5L","4a","pd.fees ""₹0.2L – ₹1.5L"" spans 7.5x, placeholder or stale range","",
