university_id,university,state,programme,duration,specialisations,total_fee_rupees
"choudhary-charan-singh-university-online","Choudhary Charan Singh University","UTTAR PRADESH","MBA","2 Years","2",""
"choudhary-charan-singh-university-online","Choudhary Charan Singh University","UTTAR PRADESH","MCA","2 Years","1",""
"choudhary-charan-singh-university-online","Choudhary Charan Singh University","UTTAR PRADESH","BBA","3 Years","1",""
"choudhary-charan-singh-university-online","Choudhary Charan Singh University","UTTAR PRADESH","BA","3 Years","13",""
"choudhary-charan-singh-university-online","Choudhary Charan Singh University","UTTAR PRADESH","M.Com","2 Years","1",""
"choudhary-charan-singh-university-online","Choudhary Charan Singh University","UTTAR PRADESH","MA","2 Years","6",""
"pt-sundarlal-sharma-open-university-online","Pt. Sundarlal Sharma (Open) University","CHHATTISGARH","MBA","2 Years","1",""
"pt-sundarlal-sharma-open-university-online","Pt. Sundarlal Sharma (Open) University","CHHATTISGARH","MA","2 Years","6",""
"pt-sundarlal-sharma-open-university-online","Pt. Sundarlal Sharma (Open) University","CHHATTISGARH","M.Com","2 Years","1",""
"pt-sundarlal-sharma-open-university-online","Pt. Sundarlal Sharma (Open) University","CHHATTISGARH","MSc","2 Years","1",""
"pt-sundarlal-sharma-open-university-online","Pt. Sundarlal Sharma (Open) University","CHHATTISGARH","BA","3 Years","3",""
"reva-university-online","REVA University","KARNATAKA","MBA","2 Years","6",""
"reva-university-online","REVA University","KARNATAKA","MCA","2 Years","1",""
"reva-university-online","REVA University","KARNATAKA","BBA","3 Years","1",""
"reva-university-online","REVA University","KARNATAKA","BCA","3 Years","1",""
"university-of-calicut-online","University of Calicut","KERALA","MBA","2 Years","1",""
"university-of-calicut-online","University of Calicut","KERALA","M.Com","2 Years","1",""
"university-of-calicut-online","University of Calicut","KERALA","MA","2 Years","5",""
"university-of-calicut-online","University of Calicut","KERALA","BA","4 Years","2",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","MBA","2 Years","2",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","MCA","2 Years","1",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","BBA","3 Years","1",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","BCA","3 Years","1",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","B.Com","3 Years","1",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","M.Com","2 Years","1",""
"dr-br-ambedkar-university-online","Dr. B.R. Ambedkar University","UTTAR PRADESH","MA","2 Years","1",""
"mohan-babu-university-online","Mohan Babu University","ANDHRA PRADESH","MBA","2 Years","1",""
"mohan-babu-university-online","Mohan Babu University","ANDHRA PRADESH","MCA","2 Years","1",""
"mohan-babu-university-online","Mohan Babu University","ANDHRA PRADESH","BBA","3 Years","1",""
