bucket,id,name,programme,hub_url,indexable,index_reason
"PROGRAMME_GAP","parul-university-online","Parul University Online","B.Com","/universities/parul-university-online/bcom","YES","fee"
"PROGRAMME_GAP","mangalayatan-university-online","Mangalayatan University Online","BA","/universities/mangalayatan-university-online/ba","YES","fee"
"PROGRAMME_GAP","manav-rachna-online","Manav Rachna Online","B.Com","/universities/manav-rachna-online/bcom","YES","fee"
"PROGRAMME_GAP","karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","BBA","/universities/karnataka-state-open-university-online/bba","YES","fee"
"PROGRAMME_GAP","karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","BCA","/universities/karnataka-state-open-university-online/bca","YES","fee"
"PROGRAMME_GAP","karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","MCA","/universities/karnataka-state-open-university-online/mca","NO","thin"
"PROGRAMME_GAP","dr-babasaheb-ambedkar-open-university-online","Dr. Babasaheb Ambedkar Open University Online","MBA","/universities/dr-babasaheb-ambedkar-open-university-online/mba","YES","fee"
"PROGRAMME_GAP","gls-university-online","GLS University Online","BCA","/universities/gls-university-online/bca","YES","content"
"PROGRAMME_GAP","christ-university-online","Christ (Deemed to be University) Online","BBA","/universities/christ-university-online/bba","YES","fee"
"PROGRAMME_GAP","anna-university-online","Anna University Online","MCA","/universities/anna-university-online/mca","NO","thin"
"PROGRAMME_GAP","university-of-madras-online","University of Madras Online","MBA","/universities/university-of-madras-online/mba","YES","content+fee"
"PROGRAMME_GAP","jamia-hamdard-online","JAMIA HAMDARD Online","B.Com","/universities/jamia-hamdard-online/bcom","YES","fee"
"PROGRAMME_GAP","kalinga-institute-industrial-technology-online","KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY Online","BA","/universities/kalinga-institute-industrial-technology-online/ba","YES","fee"
"PROGRAMME_GAP","madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","BCA","/universities/madurai-kamaraj-university-online/bca","NO","thin"
"PROGRAMME_GAP","madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","MBA","/universities/madurai-kamaraj-university-online/mba","YES","fee"
"PROGRAMME_GAP","madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","MCA","/universities/madurai-kamaraj-university-online/mca","NO","thin"
"PROGRAMME_GAP","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","BBA","/universities/university-of-mumbai-online/bba","NO","thin"
"PROGRAMME_GAP","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","BCA","/universities/university-of-mumbai-online/bca","NO","thin"
"PROGRAMME_GAP","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MBA","/universities/university-of-mumbai-online/mba","YES","fee"
"PROGRAMME_GAP","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MCA","/universities/university-of-mumbai-online/mca","NO","thin"
"PROGRAMME_GAP","iiit-bangalore-online","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY Online","MBA","/universities/iiit-bangalore-online/mba","YES","fee"
"UNIVERSITY_ABSENT","shobhit-university-online","Shobhit Institute of Engineering & Technology (Shobhit Online","MBA","/universities/shobhit-university-online/mba","YES","fee"
"UNIVERSITY_ABSENT","shobhit-university-online","Shobhit Institute of Engineering & Technology (Shobhit Online","MCA","/universities/shobhit-university-online/mca","YES","fee"
"UNIVERSITY_ABSENT","shobhit-university-online","Shobhit Institute of Engineering & Technology (Shobhit Online","BBA","/universities/shobhit-university-online/bba","YES","fee"
"UNIVERSITY_ABSENT","shobhit-university-online","Shobhit Institute of Engineering & Technology (Shobhit Online","BCA","/universities/shobhit-university-online/bca","YES","fee"
