id,name,programme,hub_url,status
"parul-university-online","Parul University Online","B.Com","/universities/parul-university-online/bcom","NOT_IN_UGC_LIST"
"mangalayatan-university-online","Mangalayatan University Online","BA","/universities/mangalayatan-university-online/ba","NOT_IN_UGC_LIST"
"manav-rachna-online","Manav Rachna Online","B.Com","/universities/manav-rachna-online/bcom","NOT_IN_UGC_LIST"
"karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","BBA","/universities/karnataka-state-open-university-online/bba","NOT_IN_UGC_LIST"
"karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","BCA","/universities/karnataka-state-open-university-online/bca","NOT_IN_UGC_LIST"
"karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","MCA","/universities/karnataka-state-open-university-online/mca","NOT_IN_UGC_LIST"
"dr-babasaheb-ambedkar-open-university-online","Dr. Babasaheb Ambedkar Open University Online","MBA","/universities/dr-babasaheb-ambedkar-open-university-online/mba","NOT_IN_UGC_LIST"
"gls-university-online","GLS University Online","BCA","/universities/gls-university-online/bca","NOT_IN_UGC_LIST"
"christ-university-online","Christ (Deemed to be University) Online","BBA","/universities/christ-university-online/bba","NOT_IN_UGC_LIST"
"anna-university-online","Anna University Online","MCA","/universities/anna-university-online/mca","NOT_IN_UGC_LIST"
"university-of-madras-online","University of Madras Online","MBA","/universities/university-of-madras-online/mba","NOT_IN_UGC_LIST"
"jamia-hamdard-online","JAMIA HAMDARD Online","B.Com","/universities/jamia-hamdard-online/bcom","NOT_IN_UGC_LIST"
"kalinga-institute-industrial-technology-online","KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY Online","BA","/universities/kalinga-institute-industrial-technology-online/ba","NOT_IN_UGC_LIST"
"madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","BCA","/universities/madurai-kamaraj-university-online/bca","NOT_IN_UGC_LIST"
"madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","MBA","/universities/madurai-kamaraj-university-online/mba","NOT_IN_UGC_LIST"
"madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","MCA","/universities/madurai-kamaraj-university-online/mca","NOT_IN_UGC_LIST"
"university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","BBA","/universities/university-of-mumbai-online/bba","NOT_IN_UGC_LIST"
"university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","BCA","/universities/university-of-mumbai-online/bca","NOT_IN_UGC_LIST"
"university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MBA","/universities/university-of-mumbai-online/mba","NOT_IN_UGC_LIST"
"university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MCA","/universities/university-of-mumbai-online/mca","NOT_IN_UGC_LIST"
"iiit-bangalore-online","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY Online","MBA","/universities/iiit-bangalore-online/mba","NOT_IN_UGC_LIST"
