id,name,state,on_new_list,ugc_source,ugc_name,offered,ugc_entitled,unbacked,site_claims_ugc_deb
"jain-university-online","JAIN (Deemed-to-be University) Online","Karnataka","YES","main #34","JAIN (DEEMED-TO-BE UNIVERSITY","BBA BCA M.Com MA MBA MCA","B.Com BBA BCA M.Com MA MBA MCA","","YES"
"amity-university-online","Amity University Online","Uttar Pradesh","YES","main #103 + addendum #15","AMITY UNIVERSITY | AMITY UNIVERSITY","B.Com BBA BCA MBA MCA","B.Com BA BBA BCA M.Com MA MBA MCA","","YES"
"lovely-professional-university-online","Lovely Professional University Online","Punjab 144411","YES","main #66","LOVELY PROFESSIONAL UNIVERSITY","BA BBA BCA M.Com MA MBA MCA MSc","BA BBA BCA M.Com MA MBA MCA MSc","","YES"
"dayananda-sagar-university-online","Dayananda Sagar University Online","Karnataka","YES","main #44","DAYANAND SAGAR UNIVERSITY","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"dy-patil-university-online","D.Y. Patil University, Navi Mumbai Online","Maharashtra 400706","YES","main #53","D.Y. PATIL (NAVI MUMBAI","BBA BCA MBA","BBA BCA MBA MCA","","YES"
"upes-online","University of Petroleum & Energy Studies (UPES) Online","Uttarakhand","YES","main #120","UNIVERSITY OF PETROLEUM AND ENERGY STUDIES","BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"parul-university-online","Parul University Online","Gujarat","YES","main #19","PARUL UNIVERSITY","B.Com BA BBA BCA M.Com MA MBA MCA","BA BBA BCA M.Com MA MBA MCA MSc","B.Com","YES"
"amrita-vishwa-vidyapeetham-online","Amrita Vishwa Vidyapeetham Online","Online","YES","main #89","AMRITA VISHWA VIDYAPEETHAM UNIVERSITY","B.Com BBA BCA M.Com MBA MCA","B.Com BBA BCA M.Com MA MBA MCA MSc","","YES"
"mangalayatan-university-online","Mangalayatan University Online","Uttar Pradesh","YES","main #107","MANGALAYATAN UNIVERSITY","BA BBA BCA M.Com MBA MCA MSc","BBA BCA M.Com MA MBA MCA MSc","BA","YES"
"shoolini-university-online","Shoolini University Online","Himachal Pradesh 173229","YES","main #30","SHOOLINI UNIVERSITY OF BIOTECHNOLOGY AND MANAGEMENT SCIENCES","B.Com BBA BCA MA MBA MCA MSc","B.Com BBA BCA MA MBA MCA MSc","","YES"
"manipal-university-jaipur-online","Manipal University Jaipur (MUJ) Online","Rajasthan","YES","main #70","MANIPAL UNIVERSITY","B.Com BBA BCA M.Com MA MBA MCA MSc","B.Com BBA BCA M.Com MA MBA MCA MSc","","YES"
"galgotias-university-online","Galgotias University Online","Uttar Pradesh","YES","main #115","GALGOTIAS UNIVERSITY","BBA BCA M.Com MA MBA MCA","BBA BCA M.Com MA MBA MCA","","YES"
"sikkim-manipal-university-online","Sikkim Manipal University Online","Sikkim","YES","main #76","SIKKIM MANIPAL UNIVERSITY","B.Com BA BBA M.Com MA MBA MCA","B.Com BA BBA M.Com MA MBA MCA","","YES"
"symbiosis-university-online","Symbiosis School for Online and Digital Learning (SSODL), Pune Online","Maharashtra","YES","main #54","SYMBIOSIS INTERNATIONAL","BBA BCA BSc MA MBA MSc","BBA BCA BSc MA MBA MSc","","YES"
"chitkara-university-online","Chitkara University Online","Punjab","YES","main #65","CHITKARA UNIVERSITY","BBA MBA","BBA BCA MBA MCA","","YES"
"yenepoya-university-online","Yenepoya (Deemed to be University) Online","Karnataka","YES","main #40","YENEPOYA","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"sharda-university-online","Sharda University Online","Uttar Pradesh","YES","main #106","SHARDA UNIVERSITY","BA BBA BCA M.Com MBA MCA","BA BBA BCA M.Com MA MBA MCA","","YES"
"vignan-university-online","Vignan's Foundation for Science, Technology & Research Online","Andhra Pradesh","YES","main #3","VIGNAN'S FOUNDATION FOR SCIENCE, TECHNOLOGY AND RESEARCH","BBA BCA MBA MCA","BBA BCA MBA MCA MSc","","YES"
"manonmaniam-sundaranar-university-online","Manonmaniam Sundaranar University Online","Tamil Nadu","YES","main #93","MANONMANIAM SUNDARANAR UNIVERSITY","B.Com BA BBA M.Com MA MBA","B.Com BA BBA M.Com MA MBA","","YES"
"nmims-online","NMIMS (Narsee Monjee Institute of Management Studies) Online","Maharashtra","YES","main #58","NARSEE MONJEE INSTITUTE Of MANAGEMENT","B.Com BBA MBA","B.Com BBA MBA","","YES"
"manipal-academy-higher-education-online","Manipal Academy of Higher Education (MAHE) Online","Karnataka","YES","main #36","MANIPAL ACADEMY OF HIGHER EDUCATION","B.Com BBA MBA MCA MSc","B.Com BBA BSc MBA MCA MSc","","YES"
"kl-university-online","Koneru Lakshmaiah Education Foundation (KL University) Online","Andhra Pradesh","YES","main #2","KONERU LAKSHMAIAH EDUCATION FOUNDATION","BBA BCA MBA MCA","BBA BCA MBA MCA","","YES"
