hub_url,university_id,university,programme,indexable,index_reason,ugc_row,ugc_entitled_programmes,decision
"/universities/jamia-hamdard-online/bcom","jamia-hamdard-online","JAMIA HAMDARD Online","B.Com","YES","fee","main #10","BA BBA BCA MA MBA MCA",""
"/universities/manav-rachna-online/bcom","manav-rachna-online","Manav Rachna Online","B.Com","YES","fee","main #28 + addendum #7","BA BBA BCA M.Com MA MBA MCA",""
"/universities/parul-university-online/bcom","parul-university-online","Parul University Online","B.Com","YES","fee","main #19","BA BBA BCA M.Com MA MBA MCA MSc",""
"/universities/kalinga-institute-industrial-technology-online/ba","kalinga-institute-industrial-technology-online","KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY Online","BA","YES","fee","main #62","B.Com BBA BCA M.Com MA MBA MCA MSc",""
"/universities/mangalayatan-university-online/ba","mangalayatan-university-online","Mangalayatan University Online","BA","YES","fee","main #107","BBA BCA M.Com MA MBA MCA MSc",""
"/universities/christ-university-online/bba","christ-university-online","Christ (Deemed to be University) Online","BBA","YES","fee","main #43","B.Com BCA MA MCA MSc",""
"/universities/karnataka-state-open-university-online/bba","karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","BBA","YES","fee","main #42","B.Com BA M.Com MA MBA MSc",""
"/universities/gls-university-online/bca","gls-university-online","GLS University Online","BCA","YES","content","main #22","B.Com BBA M.Com MBA MCA",""
"/universities/karnataka-state-open-university-online/bca","karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","BCA","YES","fee","main #42","B.Com BA M.Com MA MBA MSc",""
"/universities/dr-babasaheb-ambedkar-open-university-online/mba","dr-babasaheb-ambedkar-open-university-online","Dr. Babasaheb Ambedkar Open University Online","MBA","YES","fee","main #18","B.Com BA BCA M.Com MA MCA",""
"/universities/iiit-bangalore-online/mba","iiit-bangalore-online","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY Online","MBA","YES","fee","main #101","MSc",""
"/universities/madurai-kamaraj-university-online/mba","madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","MBA","YES","fee","main #82","B.Com BA BBA M.Com MA MSc",""
"/universities/university-of-madras-online/mba","university-of-madras-online","University of Madras Online","MBA","YES","content+fee","main #87","B.Com BA BBA M.Com MA",""
"/universities/university-of-mumbai-online/mba","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MBA","YES","fee","main #57","MA",""
"/universities/university-of-mumbai-online/bba","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","BBA","NO","thin","main #57","MA",""
"/universities/madurai-kamaraj-university-online/bca","madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","BCA","NO","thin","main #82","B.Com BA BBA M.Com MA MSc",""
"/universities/university-of-mumbai-online/bca","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","BCA","NO","thin","main #57","MA",""
"/universities/anna-university-online/mca","anna-university-online","Anna University Online","MCA","NO","thin","main #97","MBA",""
"/universities/karnataka-state-open-university-online/mca","karnataka-state-open-university-online","Karnataka State Open University (KSOU) Online","MCA","NO","thin","main #42","B.Com BA M.Com MA MBA MSc",""
"/universities/madurai-kamaraj-university-online/mca","madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","MCA","NO","thin","main #82","B.Com BA BBA M.Com MA MSc",""
"/universities/university-of-mumbai-online/mca","university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MCA","NO","thin","main #57","MA",""
