university_slug,university_display_name,program,current_pd_fees_value,suppression_rule,programFees_value_if_any,feeMin,feeMax,live_url,gsc_impressions,priority_rank,VERIFIED_TOTAL_FEE,VERIFIED_PER_SEM_FEE,VERIFIED_REGISTRATION_FEE,SOURCE_NOTE,VERIFIED_DATE
chitkara-university-online,Chitkara University Online,BCA,₹60K – ₹200K,4a,,200000,200000,https://edifyedu.in/universities/chitkara-university-online/bca,3162,1,,,,"REMOVED: programme does not exist at Chitkara Online; page purged and 301 redirected to /universities/chitkara-university-online",2026-08-04
gls-university-online,GLS University Online,BBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/gls-university-online/bba,2949,2,,,,"INTENTIONALLY BLANK: GLS does not publish any fees on its website (verified 2026-08-04); page must stay on counsellor CTA",2026-08-04
dy-patil-university-online,"D.Y. Patil University, Navi Mumbai Online",BBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/dy-patil-university-online/bba,2858,3,130000,22000,,"official DYPU Navi Mumbai fee page, screenshot verified",2026-08-04
kurukshetra-university-online,Kurukshetra University Online,BBA,₹60K – ₹200K,4a,,102000,102000,https://edifyedu.in/universities/kurukshetra-university-online/bba,2685,4,72661,12000,,"official Kurukshetra University Online fee page, screenshot verified (first semester 12661; per-sem 12000 thereafter)",2026-08-04
gla-university-online,GLA University Online,BCA,₹60K – ₹200K,4a,,140000,220000,https://edifyedu.in/universities/gla-university-online/bca,2625,5,99800,14750,500,"official GLA University Online fee page, screenshot verified (tuition 88500 + exam 9000 + alumni 1800 + reg 500)",2026-08-04
gls-university-online,GLS University Online,BCA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/gls-university-online/bca,2286,6,,,,"INTENTIONALLY BLANK: GLS does not publish fees on its website (verified 2026-08-04)",2026-08-04
chitkara-university-online,Chitkara University Online,B.Com,₹60K – ₹200K,4a,,200000,200000,https://edifyedu.in/universities/chitkara-university-online/bcom,1944,7,,,,"REMOVED: programme does not exist at Chitkara Online; page purged and 301 redirected to /universities/chitkara-university-online",2026-08-04
chandigarh-university-online,Chandigarh University Online,BCA,₹60K – ₹200K,4a,177000,165000,220000,https://edifyedu.in/universities/chandigarh-university-online/bca,1892,8,177000,23600,,"official Chandigarh University Online fee page, screenshot verified (sticker total; 20% Early Bird Scholarship available brings to 141600 — sticker used per Sprint 1 rule)",2026-08-04
gla-university-online,GLA University Online,BBA,₹60K – ₹200K,4a,,140000,220000,https://edifyedu.in/universities/gla-university-online/bba,1801,9,99800,14750,500,"official GLA University Online fee page, screenshot verified (tuition 88500 + exam 9000 + alumni 1800 + reg 500)",2026-08-04
dy-patil-university-online,"D.Y. Patil University, Navi Mumbai Online",BCA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/dy-patil-university-online/bca,1719,10,132000,22000,,"official DYPU Navi Mumbai fee page, screenshot verified",2026-08-04
gls-university-online,GLS University Online,B.Com,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/gls-university-online/bcom,1075,11,,,,"INTENTIONALLY BLANK: GLS does not publish fees on its website (verified 2026-08-04)",2026-08-04
ignou-online,Indira Gandhi National Open University (IGNOU) Online,MCA,"₹27,000",4b,50800,66000,66000,https://edifyedu.in/universities/ignou-online/mca,1037,12,,,,"INTENTIONALLY BLANK: per-sem 13000 + registration + development fee confirmed, but number of semesters not yet confirmed — do not compute total until confirmed",2026-08-04
alagappa-university-online,Alagappa University Online,B.Com,₹0.1L – ₹0.6L,4a,,60000,200000,https://edifyedu.in/universities/alagappa-university-online/bcom,0,13,,,,,
alliance-university-online,Alliance University Online,B.Com,₹0.1L – ₹0.8L,4a,,160000,175000,https://edifyedu.in/universities/alliance-university-online/bcom,0,14,,,,,
alliance-university-online,Alliance University Online,BBA,₹0.2L – ₹1.1L,4a,,160000,175000,https://edifyedu.in/universities/alliance-university-online/bba,0,15,,,,,
assam-don-bosco-university-online,Assam Don Bosco University Online,BBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/assam-don-bosco-university-online/bba,0,16,,,,,
assam-don-bosco-university-online,Assam Don Bosco University Online,BCA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/assam-don-bosco-university-online/bca,0,17,,,,,
assam-don-bosco-university-online,Assam Don Bosco University Online,MBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/assam-don-bosco-university-online/mba,0,18,,,,,
bharathidasan-university-online,Bharathidasan University Online,MBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/bharathidasan-university-online/mba,0,19,,,,,
bharati-vidyapeeth-university-online,Bharati Vidyapeeth (Deemed to be University) Online,BBA,₹60K – ₹200K,4a,,160000,160000,https://edifyedu.in/universities/bharati-vidyapeeth-university-online/bba,0,20,,,,,
bharati-vidyapeeth-university-online,Bharati Vidyapeeth (Deemed to be University) Online,BCA,₹60K – ₹200K,4a,,160000,160000,https://edifyedu.in/universities/bharati-vidyapeeth-university-online/bca,0,21,,,,,
chandigarh-university-online,Chandigarh University Online,BBA,₹0.3L – ₹1.9L,4a,,165000,220000,https://edifyedu.in/universities/chandigarh-university-online/bba,0,22,,,,,
chandigarh-university-online,Chandigarh University Online,MSc,₹0.3L – ₹1.5L,4a,,165000,220000,https://edifyedu.in/universities/chandigarh-university-online/msc,0,23,,,,,
chitkara-university-online,Chitkara University Online,BBA,₹60K – ₹200K,4a,,200000,200000,https://edifyedu.in/universities/chitkara-university-online/bba,0,24,,,,,
christ-university-online,Christ (Deemed to be University) Online,B.Com,₹50K – ₹160K,4a,,60000,200000,https://edifyedu.in/universities/christ-university-online/bcom,0,25,,,,,
desh-bhagat-university-online,Desh Bhagat University Online,B.Com,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/desh-bhagat-university-online/bcom,0,26,,,,,
desh-bhagat-university-online,Desh Bhagat University Online,BBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/desh-bhagat-university-online/bba,0,27,,,,,
desh-bhagat-university-online,Desh Bhagat University Online,MBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/desh-bhagat-university-online/mba,0,28,,,,,
galgotias-university-online,Galgotias University Online,M.Com,₹60K – ₹200K,4a,,76200,86400,https://edifyedu.in/universities/galgotias-university-online/mcom,0,29,,,,,
gla-university-online,GLA University Online,B.Com,₹60K – ₹200K,4a,,140000,220000,https://edifyedu.in/universities/gla-university-online/bcom,0,30,,,,,
gls-university-online,GLS University Online,MBA,₹0.5L – ₹3.0L,4a,,60000,200000,https://edifyedu.in/universities/gls-university-online/mba,0,31,,,,,
iift-online,Indian Institute of Foreign Trade (IIFT) Online,MBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/iift-online/mba,0,32,,,,,
integral-university-online,Integral University Online,BCA,₹0.1L – ₹0.6L,4a,,110000,110000,https://edifyedu.in/universities/integral-university-online/bca,0,33,,,,,
jain-university-online,JAIN (Deemed-to-be University) Online,BBA,₹0.3L – ₹2.8L,4a,,160000,196000,https://edifyedu.in/universities/jain-university-online/bba,0,34,,,,,
jaypee-university-online,Jaypee Institute of Information Technology Online,BBA,₹0.2L – ₹1.2L,4a,,175000,175000,https://edifyedu.in/universities/jaypee-university-online/bba,0,35,,,,,
jss-university-online,JSS Academy of Higher Education & Research (JSS AHER) Online,BBA,₹0.1L – ₹0.9L,4a,,60000,200000,https://edifyedu.in/universities/jss-university-online/bba,0,36,,,,,
karnataka-state-open-university-online,Karnataka State Open University (KSOU) Online,B.Com,₹0.1L – ₹0.7L,4a,,60000,200000,https://edifyedu.in/universities/karnataka-state-open-university-online/bcom,0,37,,,,,
karunya-university-online,Karunya Institute of Technology and Sciences (KCODE) Online,B.Com,₹0.1L – ₹0.9L,4a,,60000,200000,https://edifyedu.in/universities/karunya-university-online/bcom,0,38,,,,,
kiit-university-online,KIIT Deemed to be University Online,M.Com,₹29K – ₹119K,4a,,60000,200000,https://edifyedu.in/universities/kiit-university-online/mcom,0,39,,,,,
