Sl No	HEI Name	Track-Id	Aishe-Id	Address	Current Cycle Number	Current CGPA	Current Grade	Date Of Declaration
1	SRI PADMAVATI MAHILA VISVAVIDYALAYAM	APUNGN10054	U-0034	Padmavati Nagar	4	3.38	A+	03-01-2023
2	ANDHRA UNIVERSITY	APUNGN10055	U-0006	Visakhapatnam	4	3.74	A++	09-11-2023
3	SRI VENKATESWARA UNIVERSITY	APUNGN10056	U-0037	Tirupati	4	3.31	A+	14-03-2023
5	Acharya Nagarjuna University	APUNGN10092	U-0003	Guntur	4	3.46	A+	22-06-2024
7	GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT (GITAM)	APUNGN10164	U-0011	Visakhapatnam	3	3.54	A++	28-02-2023
22	GAUHATI UNIVERSITY	ASUNGN10051	U-0052	Guwahati	4	3.32	A+	05-07-2024
23	DIBRUGARH UNIVERSITY	ASUNGN10059	U-0051	Dibrugarh	4	2.79	B++	23-11-2023
24	TEZPUR UNIVERSITY	ASUNGN10116	U-0056	Tezpur	4	3.41	A+	10-08-2022
26	ASSAM DOWN TOWN UNIVERSITY	ASUNGN101976	U-0683	Guwahati	2	3.34	A+	09-05-2025
30	ASSAM DON BOSCO UNIVERSITY	ASUNGN11211	U-0049	Guwahati	2	3.08	A	30-11-2021
50	GURU GHASIDAS VISHWAVIDYALAYA, BILASPUR	CGUNGN11068	U-0085	Bilaspur	2	3.62	A++	25-04-2024
57	JAMIA HAMDARD	DLUNGN10086	U-0107	New Delhi	4	3.41	A+	15-12-2023
58	UNIVERSITY OF DELHI	DLUNGN100918	U-0120	Delhi	2	3.55	A++	08-11-2024
59	INDIAN INSTITUTE OF FOREIGN TRADE	DLUNGN10119	U-0102	New Delhi	3	3.27	A+	15-12-2023
60	GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY	DLUNGN10129	U-0099	Delhi	3	3.56	A++	14-02-2023
63	INDIRA GANDHI NATIONAL OPEN UNIVERSITY	DLUNGN105565	U-0104	New Delhi	1	3.56	A++	08-01-2021
66	JAMIA MILLIA ISLAMIA	DLUNGN11179	U-0108	New Delhi	2	3.61	A++	14-12-2021
74	JAWAHARLAL NEHRU UNIVERSITY	DLUNGN60001	U-0109	New Delhi	3	3.62	A++	05-09-2024
77	AHMEDABAD UNIVERSITY	GJUNGN100001	U-0122	Ahmedabad	1	3.25	A	11-10-2022
80	THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA	GJUNGN10023	U-0143	Vadodara	4	3.43	A+	30-08-2022
82	GANPAT UNIVERSITY	GJUNGN100561	U-0132	Mehsana	1	3.11	A	07-02-2024
85	GUJARAT UNIVERSITY	GJUNGN10131	U-0136	Ahmedabad	3	3.30	A+	06-02-2025
87	NIRMA UNIVERSITY	GJUNGN10152	U-0146	Ahmedabad	3	3.33	A+	05-04-2022
92	DR. BABASAHEB AMBEDKAR OPEN UNIVERSITY	GJUNGN110363	U-0131	Ahmedabad	1	3.55	A++	26-07-2022
96	GUJARAT TECHNOLOGICAL UNIVERSITY	GJUNGN111476	U-0135	Ahmedabad	1	3.26	A+	14-02-2023
97	PARUL UNIVERSITY	GJUNGN112139	U-0763	Vadodara	1	3.55	A++	20-02-2023
98	MARWADI UNIVERSITY	GJUNGN113303	U-0825	Rajkot	1	3.31	A+	09-11-2023
100	CHAROTAR UNIVERSITY OF SCIENCE AND TECHNOLOGY	GJUNGN11356	U-0128	Anand	2	3.26	A+	12-07-2022
107	GLS UNIVERSITY	GJUNGN116297	U-0775	Ahmedabad	1	3.44	A+	30-01-2025
117	HIMACHAL PRADESH UNIVERSITY	HPUNGN10075	U-0183	Shimla	4	3.07	A	09-11-2022
118	JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY	HPUNGN10159	U-0186	Solan	3	3.40	A+	25-04-2024
123	CHITKARA UNIVERSITY HIMACHAL PRADESH	HPUNGN11244	U-0180	Solan	2	3.42	A+	30-03-2023
124	SHOOLINI UNIVERSITY OF BIOTECHNOLOGY AND MANAGEMENT SCIENCES	HPUNGN11360	U-0190	Solan	2	3.30	A+	21-11-2024
125	Central University of Himachal Pradesh	HPUNGN11553	U-0178	Dharamshala	2	3.42	A+	19-07-2023
126	KURUKSHETRA UNIVERSITY	HRUNGN10016	U-0164	Kurukshetra	4	3.56	A++	22-09-2023
127	GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY	HRUNGN10068	U-0162	Hisar	4	3.38	A+	18-10-2022
129	SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY	HRUNGN104832	U-0702	Gurugram	1	3.33	A+	12-10-2023
130	AMITY UNIVERSITY HARYANA	HRUNGN105499	U-0155	Gurugram	1	3.07	A	02-02-2021
141	MAHARISHI MARKANDESHWAR UNIVERSITY	HRUNGN11435	U-0168	Mullana	2	3.53	A++	21-12-2021
143	Manav Rachna International Institute of Research and Studies	HRUNGN11466	U-0169	Faridabad	2	3.53	A++	20-02-2023
145	THE NORTHCAP UNIVERSITY	HRUNGN11513	U-0163	Gurugram	2	3.02	A	02-08-2022
148	BIRLA INSTITUTE OF TECHNOLOGY	JHUNGN10094	U-0202	Ranchi	2	3.17	A	22-11-2022
152	ARKA JAIN UNIVERSITY	JHUNGN113346	U-0920	Seraikela	1	3.15	A	22-02-2024
157	UNIVERSITY OF JAMMU	JKUNGN10038	U-0195	Jammu	4	3.72	A++	20-12-2024
161	UNIVERSITY OF MYSORE	KAUNGN10006	U-0235	Mysuru	4	3.01	A	20-09-2021
163	KARNATAK UNIVERSITY	KAUNGN10018	U-0230	Dharwad	4	3.13	A	11-10-2022
165	BANGALORE UNIVERSITY	KAUNGN10041	U-0215	Bengaluru	4	3.75	A++	10-06-2023
168	MANIPAL ACADEMY OF HIGHER EDUCATION	KAUNGN10065	U-0234	Manipal	3	3.65	A++	31-05-2022
176	ALLIANCE UNIVERSITY	KAUNGN101865	U-0213	Bengaluru	1	3.26	A+	08-11-2024
180	VISVESVARAYA TECHNOLOGICAL UNIVERSITY	KAUNGN109168	U-0249	Belagavi	1	2.73	B+	29-03-2022
183	JSS ACADEMY OF HIGHER EDUCATION & RESEARCH	KAUNGN11002	U-0222	Mysuru	3	3.61	A++	18-10-2024
185	KARNATAKA STATE OPEN UNIVERSITY	KAUNGN110602	U-0228	Mysuru	1	3.31	A+	19-05-2023
190	DAYANANDA SAGAR UNIVERSITY	KAUNGN113607	U-0856	Bangalore	1	3.31	A+	21-03-2024
194	Yenepoya Deemed to be University	KAUNGN11429	U-0250	Mangalore	2	3.47	A+	10-08-2022
198	CHRIST Deemed to be University	KAUNGN11463	U-0217	Bengaluru	2	3.42	A+	26-10-2022
200	ADICHUNCHANAGIRI UNIVERSITY	KAUNGN115848	U-0971	Mandya	1	3.39	A+	23-08-2024
203	JAIN Deemed-to-be University	KAUNGN60028	U-0223	Bangalore	2	3.71	A++	06-12-2021
205	UNIVERSITY OF CALICUT	KLUNGN10052	U-0251	Malappuram	4	3.45	A+	21-09-2022
206	UNIVERSITY OF KERALA	KLUNGN10087	U-0260	Thiruvananthapuram	3	3.67	A++	21-06-2022
207	MAHATMA GANDHI UNIVERSITY	KLUNGN10096	U-0262	Kottayam	4	3.61	A++	14-03-2024
214	SHREEMATI NATHIBAI DAMODAR THACKERSEY WOMENS UNIVERSITY	MHUNGN10008	U-0326	Mumbai	3	3.27	A+	28-06-2025
216	UNIVERSITY OF MUMBAI	MHUNGN10027	U-0318	Mumbai	3	3.65	A++	31-08-2021
221	DR BABASAHEB AMBEDKAR MARATHWADA UNIVERSITY	MHUNGN10063	U-0298	Aurangabad	4	3.38	A+	30-10-2024
222	SHIVAJI UNIVERSITY	MHUNGN10080	U-0325	Kolhapur	4	3.52	A++	31-03-2021
225	BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY PUNE	MHUNGN10104	U-0292	Pune	4	3.60	A++	08-11-2024
226	DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH	MHUNGN10136	U-0295	Wardha	4	3.78	A++	19-07-2023
227	SYMBIOSIS INTERNATIONAL DEEMED UNIVERSITY	MHUNGN10140	U-0329	Pune	3	3.56	A++	20-12-2022
228	DR D Y PATIL VIDYAPEETH PUNE	MHUNGN10146	U-0301	Pune	3	3.64	A++	08-02-2022
229	D Y Patil Deemed to be University Navi Mumbai	MHUNGN10147	U-0321	Navi Mumbai	3	3.59	A++	09-11-2022
