slug,title,category,status,format,wordCount,hasHero
"amity-online-mba-hr-worth-it","Is Amity University Online MBA in HR Worth It? Real Talk from Someone Who Researched It","Online MBA Programs","draft","single",1052,false
"is-online-mba-worth-it-2026","Is Online MBA Worth It in 2026? The Honest Truth Nobody Tells You","Online MBA India","published","single",1000,true
"how-to-choose-online-mba-university-india-2026","How to Choose the Right Online MBA University in India in 2026 (Step-by-Step)","Online MBA India","published","single",1189,true
"affordable-online-mba-india-2026","Best Affordable Online MBA in India 2026 — A Straight-Talk Guide","Online MBA India","published","single",1275,true
"online-mba-for-working-professionals-india","Online MBA for Working Professionals in India 2026 — What to Check Before You Pay","Online MBA for Working Professionals","published","single",1028,true
"symbiosis-online-mba-review-2026","Symbiosis Online MBA 2026: Fees, Program Details and Student Feedback","University Review","published","single",1124,true
"nmims-online-mba-review-2026","NMIMS Online MBA 2026: Honest Review of Fees, Specialisations, Placements and What Students Actually Say","University Reviews","published","single",1979,false
"ignou-online-mba-review-2026","IGNOU Online MBA: Is It Still Worth It in 2026?","University Review","published","single",937,true
"online-manipal-mba-review-2026","Online Manipal MBA Review 2026: MAHE vs MUJ vs SMU Compared","University Review","published","single",1180,true
"mahe-online-mba-review-2026","MAHE Online MBA: Fees, Specialisations and Review 2026","University Review","published","single",1057,true
"muj-online-mba-review-2026","MUJ Online MBA: Fees, 13 Specialisations and Review 2026","University Review","published","single",1159,true
"career-after-mba-jobs-salary-scope-2026","Career After MBA 2026: Top 10 Highest-Paying Jobs, Salary Data and Scope in India","Career Guide","published","single",1605,false
"career-after-bcom-jobs-salary-courses-2026","Career After B.Com 2026: Top 10 Courses, Jobs, Salary and CA vs MBA Comparison","Career Guide","published","single",1388,false
"1-year-mba-india-executive-mba-2026","1 Year MBA in India 2026 — Executive MBA Programs for Working Professionals","MBA Guides","published","single",544,false
"is-manipal-university-jaipur-fake-or-legit-2026","Is Manipal University Jaipur Fake or Legit? (2026 Proof)","University Reviews","published","single",1541,false
"mba-fees-india-complete-guide-2026","MBA Fees in India 2026 — Complete Cost Guide (Govt, Private, Online)","MBA Guides","published","single",542,false
"iim-online-mba-india-2026","IIM Online MBA 2026 — Kozhikode, Bangalore, Calcutta Fees, Eligibility & Worth It?","Online MBA Programs","published","single",654,true
"career-after-12th-arts-courses-jobs-2026","Career After 12th Arts 2026 — Best Courses, Jobs & Salary (Complete Guide)","Career Guides","published","single",604,true
"mba-after-bca-is-it-good-career-2026","MBA After BCA — Is It a Good Career Move? Salary, Jobs & Best Universities 2026","Career Guides","published","single",521,true
"govt-jobs-after-mba-india-2026","Government Jobs After MBA 2026 — PSU, Bank PO, UPSC & More (Full List)","Career Guides","published","single",622,true
"best-mba-specialization-india-2026","Best MBA Specialization in India 2026 — Which to Choose for Maximum Salary?","Online MBA Programs","published","single",615,true
"career-after-12th-science-courses-jobs-2026","Career After 12th Science 2026: Top 15 Options, BCA vs B.Sc vs B.Tech and Salary Data","Career Guides","published","single",1407,true
"career-after-12th-commerce-courses-jobs-2026","Career After 12th Commerce 2026 — Best Courses, Jobs & Salary Guide","Career Guides","published","single",502,true
"mba-after-bsc-is-it-good-2026","MBA After BSc — Is It a Good Idea? Salary, Jobs & Which Specialization 2026","Career Guides","published","single",546,true
"online-mba-without-entrance-exam-india-2026","Online MBA Without Entrance Exam 2026 — Direct Admission Universities & Process","Online MBA Programs","published","single",452,true
"mat-exam-2026-eligibility-pattern-dates","MAT Exam 2026 — Eligibility, Paper Pattern, Dates & Score Card Explained","MBA Entrance Exams","published","single",943,true
"cmat-exam-2026-guide-eligibility-pattern","CMAT Exam 2026 — Eligibility, Pattern, Score, Dates & Colleges Accepting CMAT","MBA Entrance Exams","published","single",840,true
"mba-entrance-exams-india-2026","MBA Entrance Exams India 2026 — CAT, MAT, CMAT, XAT, ATMA Compared","MBA Entrance Exams","published","single",967,true
"ugc-deb-approved-universities-list-2026","UGC DEB Approved Universities List 2026 — How to Verify Before You Enroll","University Guides","published","single",957,true
"mba-vs-pgdm-online-india-2026","MBA vs PGDM in India 2026 — Key Differences, Which Is Better for You","MBA Guides","published","single",848,true
"online-mba-salary-india-2026","Online MBA Salary in India 2026 — What to Expect After Your Degree","MBA Career Guide","published","single",881,true
"online-mba-lpu-review-2026","LPU Online MBA Review 2026: Fees, Specialisations and Honest Take","Online MBA University Reviews","published","single",2153,true
"distance-mba-kolkata-top-programs-2026","Best Distance MBA in Kolkata 2026 — Top Programs, Fees & Tips","City-Specific MBA Guides","published","single",824,true
