University ID,Program,Specialisations (comma sep),Fee Range,Duration,Avg Salary,Entry Roles (comma sep),Top Companies (comma sep),Internship / Project Type,Career Outcome (1 sentence)
jain,MBA,"General Management,Human Resource Management & Finance,Finance & Marketing,Marketing & Human Resource Management,Finance & Business Analytics,Project Management,Information Technology (IT),Supply Chain,Production & Operations Management,Business Intelligence & Analytics,Entrepreneurship & Venture Creation,International Finance (ACCA),Data Science,Digital Marketing & E-Commerce,Artificial Intelligence,Banking & Finance,Human Resource Management,Finance,Marketing",₹0.1L – ₹2.8L,2 Yrs,₹5L – ₹18L per annum,"HR Executive,Finance Analyst,Talent Acquisition Specialist,Investment Analyst Trainee","TCS,Infosys,Wipro,HDFC Bank,ICICI Bank,Reliance,Accenture,EY,KPMG,Amazon",Industry project and virtual internship,UGC DEB approved MBA from JAIN (Deemed-to-be University) – JA — recognised for corporate hiring.
jain,MCA,"DevOps,Computer Science & IT,Data Analytics,Cyber Security,Full Stack Development,Cloud Computing,Data Science,Artificial Intelligence",₹160K – ₹240K,2 Yrs,₹5L – ₹16L per annum,"DevOps Trainee,Cloud Support Engineer,SRE Trainee,Automation Engineer Trainee","TCS,Infosys,Wipro,HDFC Bank,ICICI Bank,Reliance,Accenture,EY,KPMG,Amazon",Industry project and virtual internship,UGC DEB approved MCA from JAIN (Deemed-to-be University) – JA — recognised for corporate hiring.
jain,BBA,"Finance,Marketing,Digital Marketing,Data Science,Human Resource Management",₹0.3L – ₹2.8L,3 Yrs,₹3L – ₹8L per annum,"Finance Assistant,Accounts Executive,Tax Trainee,Investment Analyst Trainee","TCS,Infosys,Wipro,HDFC Bank,ICICI Bank,Reliance,Accenture,EY,KPMG,Amazon",Industry project and virtual internship,UGC DEB approved BBA from JAIN (Deemed-to-be University) – JA — recognised for corporate hiring.
jain,BCA,"Computer Science & IT,Data Science,Cyber Security,Artificial Intelligence,Cloud Computing",₹135K – ₹135K,3 Yrs,₹3L – ₹10L per annum,"Web Developer Trainee,Java Developer,Software Tester,IT Support","TCS,Infosys,Wipro,HDFC Bank,ICICI Bank,Reliance,Accenture,EY,KPMG,Amazon",Industry project and virtual internship,UGC DEB approved BCA from JAIN (Deemed-to-be University) – JA — recognised for corporate hiring.
jain,M.Com,"Accounting & Finance,Professional Accounting & Finance (CPA US),International Finance & Accounting (ACCA)",₹130K – ₹260K,2 Yrs,₹4L – ₹14L per annum,"Accounts Executive,Tax Analyst,Finance Analyst,GST Consultant Trainee","TCS,Infosys,Wipro,HDFC Bank,ICICI Bank,Reliance,Accenture,EY,KPMG,Amazon",Industry project and virtual internship,UGC DEB approved M.Com from JAIN (Deemed-to-be University) – JA — recognised for corporate hiring.
amity,MBA,"MBA,Hospital & Healthcare Management,Business Analytics,Data Science,Digital Entrepreneurship,Digital Marketing Management,Entrepreneurship & Leadership Management,Finance & Accounting Management,Global Finance Market,Hospitality Management,Human Resource Management,Human Resources Analytics,Information Technology (IT),Insurance Management,International Business Management,International Finance (ACCA),Marketing & Sales Management,Production & Operations Management,Retail Management,General Management",₹40K – ₹161K,2 Years,₹5L – ₹12L per annum,"Management Trainee,Business Analyst,Executive","TCS,Infosys,HCL Tech,Reliance,Accenture,PwC,EY,HDFC Bank,SBI,Tech Mahindra",Industry project and virtual internship,UGC DEB approved MBA from Amity University Online — recognised for corporate hiring.
amity,MCA,"Computer Applications (BCA) → MCA (combined 4.5-ye,Computer Applications (5 specialisations: Cyber Se,Blockchain,ML&AI,Software Engineering,FinTech+AI),Cyber Security,Blockchain Technology & Management,Financial Technology & AI (with Paytm)",₹29K – ₹116K,4.5 Years (54 months),₹5L – ₹12L per annum,"Software Developer,Programmer Analyst","TCS,Infosys,HCL Tech,Reliance,Accenture,PwC,EY,HDFC Bank,SBI,Tech Mahindra",Industry project and virtual internship,UGC DEB approved MCA from Amity University Online — recognised for corporate hiring.
amity,BBA,"General Business Administration (option for Data A,Travel & Tourism Management,Data Analytics",₹60K – ₹200K,3 Years,₹3L – ₹6L per annum,"Sales Executive,Marketing Trainee,Business Development Executive","TCS,Infosys,HCL Tech,Reliance,Accenture,PwC,EY,HDFC Bank,SBI,Tech Mahindra",Industry project and virtual internship,UGC DEB approved BBA from Amity University Online — recognised for corporate hiring.
amity,BCA,"Computer Applications (4 specialisations available,Computer Applications – Data Science,Computer Applications – Financial Technology & AI",₹60K – ₹200K,3 Years,₹3L – ₹7L per annum,"Junior Developer,Software Trainee,IT Support","TCS,Infosys,HCL Tech,Reliance,Accenture,PwC,EY,HDFC Bank,SBI,Tech Mahindra",Industry project and virtual internship,UGC DEB approved BCA from Amity University Online — recognised for corporate hiring.
amity,B.Com,"Commerce,Accounting,Commerce Honours (Advanced Accounting & Finance)",₹60K – ₹200K,3 Years,₹3L – ₹6L per annum,"Accounts Executive,Tax Assistant,Audit Trainee","TCS,Infosys,HCL Tech,Reliance,Accenture,PwC,EY,HDFC Bank,SBI,Tech Mahindra",Industry project and virtual internship,UGC DEB approved B.Com from Amity University Online — recognised for corporate hiring.
lpu,MBA,"Human Resource Management,Finance,Marketing,Operations Management,Business Analytics,Digital Marketing,Data Science,Information Technology (IT),International Business,Hospital & Healthcare Management,Logistics & Supply Chain Management,Banking & Financial Services",₹40K – ₹161K,2 Years (4 Semesters); extendable to 4 years,₹5L – ₹15L per annum,"Marketing Manager,Brand Manager,Digital Marketing Specialist,Product Manager,Market Research Analyst,Sales Manager","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Lovely Professional University (LPU — recognised for corporate hiring.
lpu,MCA,"ML & AI specialization; GE basket electives,Data Science specialization; GE basket electives,Cyber Security specialization; GE basket electives,Full Stack Web Development specialization; GE bask,VR Game Development specialization; GE basket elec",₹29K – ₹116K,2 Years (4 Semesters); extendable to 4 years,₹8L – ₹30L per annum,"ML Engineer,AI Developer,Data Scientist,NLP Engineer,Computer Vision Engineer,AI Research Associate","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Lovely Professional University (LPU — recognised for corporate hiring.
lpu,BBA,"16 Specializations: Entrepreneurship,HRM,Marketing,International Business,Family Business,Digital Marketing,Fin-Tech,Retail and E-Commerce,Artificial Intelligence,HealthCare Management,Logistics and Supply Chain Management,Foreign Exchange Management,Travel & Tourism Management,Event Management",₹0.2L – ₹1.5L,3 Years (6 Semesters),₹3L – ₹8L per annum,"Business Analyst,Marketing Manager,HR Executive,Operations Manager,Sales Manager,Entrepreneur","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Lovely Professional University (LPU — recognised for corporate hiring.
lpu,BCA,"Cyber Security,Data Science,Full Stack Web Development",₹0.2L – ₹1.2L,3 Years (6 Semesters),₹3L – ₹7L per annum,"Software Developer,Web Developer,System Administrator,Data Analyst,IT Support Engineer,Database Administrator","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Lovely Professional University (LPU — recognised for corporate hiring.
lpu,BA,No formal specializations — broad humanities & soc,₹0.1L – ₹0.9L,3 Years (6 Semesters),₹2L – ₹6L per annum,"Content Writer,Journalist,Social Worker,Educator,Public Administrator,PR Officer","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Lovely Professional University (LPU — recognised for corporate hiring.
lpu,M.Com,Commerce & Finance focus; no separate sub-speciali,₹20K – ₹70K,2 Years (4 Semesters),₹4L – ₹12L per annum,"Chartered Accountant support,Financial Analyst,Tax Consultant,Auditor,Finance Manager,Banking Officer","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Lovely Professional University (LPU — recognised for corporate hiring.
lpu,MSc,"Mathematics focus; no separate specialization,Economics focus; research-oriented",₹14K – ₹56K,2 Years (4 Semesters),₹4L – ₹14L per annum,"Data Analyst,Actuary,Mathematics Lecturer/Professor,Quantitative Analyst,Research Scientist,Statistician","Infosys,TCS,HCL,IBM,Cognizant,Wipro,Amazon,Microsoft,JP Morgan,HDFC Bank",Industry project and virtual internship,UGC DEB approved MSc from Lovely Professional University (LPU — recognised for corporate hiring.
dayanand-sagar-universi,MBA,"Financial Management (FinTech focus),Human Resource Management,Marketing Management,IT & Systems Management,Logistics & Supply Chain Management,Entrepreneurship Management,Business Analytics,Artificial Intelligence",₹30K – ₹120K,2 Years,₹4L – ₹12L per annum,"HR Executive,Recruiter,Training Coordinator.","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Dayananda Sagar University (DSU) On — recognised for corporate hiring.
dayanand-sagar-universi,MCA,"Cloud Computing,Data Science,Blockchain Technologies,Quantum Computing,Artificial Intelligence,Deep Learning,Big Data Analytics,Internet of Things,Natural Language Processing,Mobile Application Development,Data Analytics,Industrial IoT (IIoT),Business Intelligence,Business Data Management",₹140K – ₹140K,2 Years,₹7 LPA - ₹20 LPA,"Blockchain Developer,Smart Contract Auditor.","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Dayananda Sagar University (DSU) On — recognised for corporate hiring.
dayanand-sagar-universi,BBA,"Digital Marketing,Logistics & Supply Chain Management,Business Analytics",₹0.2L – ₹1.2L,3 Years,₹4L – ₹12L per annum,"Logistics Coordinator,Procurement Specialist","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Dayananda Sagar University (DSU) On — recognised for corporate hiring.
dayanand-sagar-universi,BCA,General Management,₹0.2L – ₹1.2L,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Dayananda Sagar University (DSU) On — recognised for corporate hiring.
dayanand-sagar-universi,B.Com,"FinTech,Logistics & Supply Chain Management,Business Analytics",₹105K – ₹105K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Dayananda Sagar University (DSU) On — recognised for corporate hiring.
dypatil,MBA,"Sales & Marketing,Human Resource Management,Hospital & Healthcare Management,Finance,Retail Management,Logistics & Supply Chain Management,International Business,Entrepreneurship Management,Event Management,Digital Marketing,Data Science & Business Analytics",₹41K – ₹169K,2 Years,₹4L – ₹14L per annum,"Sales Executive,Marketing Executive,Brand Associate,Market Research Analyst","Indigo Airlines,American Express,Cipla,Emerson,Bajaj,Vodafone,IBM,Genpact,Taj Hotels,Oberoi Hotels",Industry project and virtual internship,"UGC DEB approved MBA from D.Y. Patil University, Navi Mumbai — recognised for corporate hiring."
