slug,in_sitemap,published_date,days_since_publish,inbound_link_count,category,recommended_action,priority
amity-online-mba-hr-worth-it,yes,2025-03-25,428,0,B,Zero inbound links. Inject 3+ links from related published posts.,1
symbiosis-online-mba-review-2026,yes,2026-03-29,59,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
nmims-online-mba-review-2026,yes,2026-04-24,33,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-manipal-mba-review-2026,yes,2026-03-29,59,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mahe-online-mba-review-2026,yes,2026-03-29,59,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
muj-online-mba-review-2026,yes,2026-03-29,59,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
career-after-mba-jobs-salary-scope-2026,yes,2026-04-23,34,6,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-fees-india-complete-guide-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
iim-online-mba-india-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
career-after-12th-arts-courses-jobs-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-after-bca-is-it-good-career-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
govt-jobs-after-mba-india-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-without-entrance-exam-india-2026,yes,2026-04-05,52,9,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mat-exam-2026-eligibility-pattern-dates,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
cmat-exam-2026-guide-eligibility-pattern,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-entrance-exams-india-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
ugc-deb-approved-universities-list-2026,yes,2026-04-04,53,17,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-vs-pgdm-online-india-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
