slug,word_count,h1_in_body,h2_count,h3_count,h_hierarchy_valid,focus_keyword_in_h1,focus_keyword_in_h2_variant,article_schema,faqpage_schema,schema_complete,image_count,internal_link_count,external_competitor_links,em_dashes_present,contact_cta_present,total_issues,priority
amity-online-mba-hr-worth-it,1069,no,11,1,yes,no,no,yes,no,yes,1,1,0,yes,no,3,1
ias-officer-salary-india-2026-pay-scale-perks,2055,no,17,2,yes,no,n/a,yes,no,partial,1,2,0,yes,no,3,1
llm-course-duration-fees-scope-india-2026,2032,no,19,2,yes,no,n/a,yes,no,partial,1,2,0,yes,no,3,1
mba-hr-management-online-india-2026,2961,yes,12,5,yes,no,n/a,yes,no,yes,1,3,0,yes,yes,3,1
mba-pharmaceutical-management-online-india-2026,2148,yes,11,4,yes,no,n/a,yes,no,yes,1,3,0,yes,yes,3,1
online-mba-business-data-analytics-india-2026,2898,yes,14,5,yes,no,n/a,yes,no,yes,1,3,0,yes,yes,3,1
online-mba-hospital-healthcare-management-india-2026,2712,yes,13,4,yes,no,n/a,yes,no,yes,1,4,0,yes,yes,3,1
online-mba-supply-chain-management-india-2026,2504,yes,10,4,yes,no,n/a,yes,no,yes,1,4,0,yes,yes,3,1
nmims-online-mba-review-2026,2093,no,10,0,no,no,no,yes,yes,yes,1,9,0,yes,no,2,1
online-manipal-mba-review-2026,2017,no,13,1,yes,no,no,yes,yes,yes,1,1,2,no,no,2,1
phd-full-form-doctorate-meaning-india,2031,no,14,2,yes,no,n/a,yes,no,partial,1,3,0,yes,no,2,1
cat-exam-syllabus-2026-complete-guide,2008,no,15,2,yes,no,n/a,yes,no,partial,1,5,0,yes,no,2,1
career-objective-for-fresher-resume-examples,2008,no,13,13,yes,no,n/a,yes,no,partial,1,5,0,yes,no,2,1
courses-after-12th-science-complete-list-2026,2015,no,12,2,yes,no,n/a,yes,no,partial,1,4,0,yes,no,2,1
toughest-exams-india-world-2026,2011,no,9,12,yes,no,n/a,yes,no,partial,1,4,0,yes,no,2,1
cyber-security-salary-india-2026-career-guide,2031,no,16,2,yes,no,n/a,yes,no,partial,1,5,0,yes,no,2,1
arts-stream-jobs-career-options-salary-india,2110,no,16,2,yes,no,n/a,yes,no,partial,1,4,0,yes,no,2,1
gd-topics-for-mba-2026-with-answers,2004,no,8,22,yes,no,n/a,yes,no,partial,1,3,0,yes,no,2,1
online-mca-course-india,2161,no,16,0,yes,no,no,yes,no,yes,1,3,0,yes,no,2,1
amity-online-mca-fees-review,2028,no,14,0,yes,no,no,yes,no,yes,1,3,0,yes,no,2,1
vignan-online-mba-review,2018,no,15,4,yes,no,no,yes,no,yes,1,9,0,yes,yes,2,1
dsu-online-mba-review,2014,no,13,4,yes,no,no,yes,no,yes,1,8,0,yes,yes,2,1
is-online-mba-worth-it-2026,2073,no,11,1,yes,no,no,yes,yes,yes,1,4,0,yes,yes,1,1
how-to-choose-online-mba-university-india-2026,2099,no,13,1,yes,no,no,yes,yes,yes,1,7,0,yes,yes,1,1
affordable-online-mba-india-2026,2079,no,13,0,yes,no,no,yes,yes,yes,1,6,0,yes,no,1,1
online-mba-for-working-professionals-india,2007,no,13,2,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
muj-online-mba-review-2026,2008,no,14,2,yes,no,no,yes,yes,yes,1,5,1,no,no,1,1
iim-online-mba-india-2026,2001,no,14,4,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
best-mba-specialization-india-2026,2025,no,16,0,yes,no,no,yes,yes,yes,1,8,0,yes,no,1,1
mat-exam-2026-eligibility-pattern-dates,2014,no,16,0,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
mba-entrance-exams-india-2026,2002,no,14,0,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
ugc-deb-approved-universities-list-2026,2026,no,12,0,yes,no,no,yes,yes,yes,1,5,0,yes,no,1,1
mba-vs-pgdm-online-india-2026,2034,no,13,0,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
online-mba-lpu-review-2026,2153,no,13,1,yes,no,no,yes,yes,yes,1,6,0,yes,no,1,1
distance-mba-kolkata-top-programs-2026,2080,no,14,0,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
online-mba-pune-university-2026,2014,no,15,0,yes,no,no,yes,yes,yes,1,4,0,yes,no,1,1
is-online-degree-valid-india-2026,2041,no,16,3,yes,no,no,yes,yes,yes,1,6,0,yes,no,1,1
mba-after-engineering-india-2026,2031,no,14,3,yes,no,no,yes,yes,yes,1,5,0,yes,no,1,1
mba-finance-career-salary-scope-2026,2066,no,16,2,yes,no,no,yes,yes,yes,1,5,0,yes,no,1,1
mba-hr-career-salary-scope-2026,2102,no,16,1,yes,no,no,yes,yes,yes,1,6,0,yes,no,1,1
mba-data-science-analytics-career-2026,2058,no,17,0,yes,no,no,yes,yes,yes,1,6,0,yes,no,1,1
mba-operations-management-career-2026,2025,no,9,0,yes,no,no,yes,yes,yes,1,12,0,yes,yes,1,1
du-online-mba-delhi-university-2026,2076,no,18,0,yes,no,no,yes,yes,yes,1,7,0,yes,no,1,1
mba-international-online-global-programs-2026,2023,no,19,4,yes,no,no,yes,yes,yes,1,7,0,yes,no,1,1
distance-mba-meaning-what-is-it-2026,2008,no,16,0,yes,no,no,yes,yes,yes,1,10,0,yes,no,1,1
online-mba-courses-chennai-2026,2006,no,16,5,yes,no,no,yes,yes,yes,1,9,0,yes,no,1,1
online-mba-fee-comparison-india-2026,2077,no,13,4,yes,no,no,yes,yes,yes,1,13,0,yes,no,1,1
