slug,title,title_length,title_keyword_present,title_unique,meta_desc,meta_desc_length,meta_keyword_present,meta_unique,canonical_url,total_issues
phd-full-form-doctorate-meaning-india,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/phd-full-form-doctorate-meaning-india,4
14-principles-of-management-henri-fayol,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/14-principles-of-management-henri-fayol,4
cat-exam-syllabus-2026-complete-guide,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/cat-exam-syllabus-2026-complete-guide,4
career-objective-for-fresher-resume-examples,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/career-objective-for-fresher-resume-examples,4
best-computer-courses-after-12th-india-2026,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/best-computer-courses-after-12th-india-2026,4
courses-after-12th-science-complete-list-2026,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/courses-after-12th-science-complete-list-2026,4
iim-ranking-india-2026-all-iims-list,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/iim-ranking-india-2026-all-iims-list,4
toughest-exams-india-world-2026,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/toughest-exams-india-world-2026,4
ias-officer-salary-india-2026-pay-scale-perks,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/ias-officer-salary-india-2026-pay-scale-perks,4
cyber-security-salary-india-2026-career-guide,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/cyber-security-salary-india-2026-career-guide,4
data-science-salary-india-2026-scope-jobs,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/data-science-salary-india-2026-scope-jobs,4
investment-banking-career-india-salary-qualification,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/investment-banking-career-india-salary-qualification,4
arts-stream-jobs-career-options-salary-india,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/arts-stream-jobs-career-options-salary-india,4
commerce-jobs-list-salary-india-2026,,0,no,yes,,0,no,yes,https://edifyedu.in/blog/commerce-jobs-list-salary-india-2026,4
